authorId,name,paperCount,citationCount,hIndex
2221252,R. Leech,241,14783,55
2500350,L. Williams,14,1203,9
29948009,T. Williams,48,3184,21
6442982,B. Sessa,61,1731,19
7964892,J. McGonigle,113,2510,23
23994404,M. Sereno,190,38539,56
2113949701,David Nichols,5,497,2
50473871,Peter J Hellyer,76,3973,26
144367923,P. Hobden,18,2022,10
152108949,John Evans,20,1753,10
1396886582,K. Singh,192,10281,52
1740745,R. Wise,235,11766,54
153597155,H. Curran,82,3426,26
28914948,D. Nutt,1383,48982,111
73166483,D. Roediger,126,5306,20
2079681794,A. Turing,12,21246,10
36944267,A. Biswas,33,4022,9
144605598,P. Oh,363,10852,45
143853154,G. Faulkner,245,8865,37
34789883,Ravi R. Bajaj,23,2211,6
2069499964,Michael A Silver,2,1945,2
32254201,Marc S Mitchell,43,2524,11
144910982,D. Alter,241,14269,55
4683573,A. Hagopian,134,2987,29
1729989,A. Flaxman,217,96089,68
49342053,T. Takaro,222,4608,38
8249508,Sahar A Esa Al Shatari,4,162,4
6968424,J. Rajaratnam,26,3982,15
122590535,S. Becker,139,8231,42
1402951884,A. Levin-Rector,37,2629,12
3538016,L. Galway,44,1136,14
1422532373,Berq J. Hadi Al-Yasseri,1,121,1
121725420,W. Weiss,50,1465,19
145882172,C. Murray,732,307544,207
2924732,G. Burnham,212,6730,44
69516215,D. Blight,90,1073,13
3153908,G. Olah,2000,43986,83
9857156,A. Goeppert,89,7355,35
145844357,G. Prakash,889,19599,66
1748938,P. Neumann,559,23126,74
4291873,T. Ganiats,250,50219,61
35078045,L. Russell,180,13035,40
3036054,G. Sanders,381,12979,52
3502698,J. Siegel,62,11261,23
2772997,Christoph Stadtfeld,48,1703,20
34889030,K. Takács,86,938,15
51033166,András Vörös,11,243,5
47383913,R. Geyer,85,15682,29
2105939,J. Jambeck,60,15500,26
34861621,K. L. Law,44,18746,22
41153342,E. J. Odes,7,142,4
1403763944,P. Randolph-Quinney,38,560,13
145731919,M. Steyn,175,4296,34
148438054,Z. Throckmorton,21,729,5
5383909,J. Smilg,18,155,5
40478777,B. Zipfel,114,1975,20
13069700,T. Augustine,29,226,7
89728602,F. D. Beer,62,686,14
34258523,J. Hoffman,43,423,9
145828833,Ryan D. Franklin,3,93,2
1730168,L. Berger,360,18037,65
39613278,Leland Chang,92,4269,26
2223733,R. Montoye,65,2970,19
2109993277,Yutaka Nakamura,9,4095,7
143627269,K. Batson,7,605,4
3005309,R. Eickemeyer,34,1662,17
2907833,R. Dennard,130,9439,37
144703150,W. Haensch,216,11009,55
32353110,D. Jamsek,26,768,9
4979059,M. Springmann,85,11505,24
1398405612,H. Godfray,143,26247,63
25250373,M. Rayner,300,24340,71
4073591,P. Scarborough,212,32154,63
2928395,Brian D. Glass,27,674,12
144840241,W. T. Maddox,244,10765,55
10129234,B. Love,233,7186,46
2153346027,Kok Hian Tan,6,8,2
3257153,B. Lim,6,32,4
11300754,Zann Foo,4,14,2
2179693357,Joo Ying Tang,2,2,1
152653685,Mabelene Sim,3,2,1
2109070218,P. T. Lee,27,160,7
5122612,K. Fong,111,2516,31
2654865,M. Kosinski,122,11820,44
2567132,D. Stillwell,99,10646,39
1686971,T. Graepel,172,38513,56
11835078,C. Kubrin,124,6042,38
26377413,Eric A. Stewart,100,5584,34
96214502,John C. Narver,40,24174,23
38110571,S. Slater,85,35489,50
49789744,G. Ceballos,121,14625,48
32090766,P. Ehrlich,593,55365,114
6099118,A. Barnosky,146,18168,42
144319522,Andrés García,50,4449,15
1817797,R. Pringle,142,8672,45
2539541,T. Palmer,115,9505,42
4881597,R. Siemieniuk,89,4941,38
144371115,I. Harris,383,10043,50
5611734,T. Agoritsas,215,11183,49
3678132,R. Poolman,240,6772,49
1388891893,R. Brignardello-Petersen,755,10116,45
3204202,S. Van de Velde,49,1888,18
145679853,R. Buchbinder,791,105510,117
145185534,M. Englund,465,15588,62
8254184,L. Lytvyn,81,4238,38
49185745,C. Quinlan,20,370,5
2099288499,L. Helsingen,30,885,9
39539448,G. Knutsen,34,4323,17
