paperId,referenceCount,citationCount,authorsCount,occupiedJournalPages,authors_sum_paperCount,authors_sum_citationCount,authors_sum_hIndex,altmetric_score,influentialCitationCount
083a8f455e8bdf3c9d72ac81c8215db5b09def68,61,237,3,0,1288,74273,224,0,12
84dda3af6c990fb7344ce32af95dcc60b7346f19,40,1154,18,0,4618,384038,843,1240,77
a3c49533dcfc246ea8f40f1fe9d76509cc65c968,81,421,2,0,1537,206345,217,1816,10
7fe9b067babc0812c1f31b04626397111635fa9d,72,2041,1,0,217,13966,54,3,330
e202e8d0b91b855d9943d042c95dfab08d720d25,74,78,9,0,1041,52391,306,938,1
619f11173f4775f7b518037f7e611b5a06f42664,15,47,5,0,416,10087,72,1151,2
7bdabb88d7414c8860a2e482508ad2fd69b170bf,37,699,24,0,4070,407284,1042,1294,40
98882d201890680e156fef2b111630f401168092,0,5549,4,0,1290,99562,209,0,389
70fce164ca99bac949c8f9c1a225a9cc15e301a7,44,1852,24,0,2040,156244,604,2180,93
92d5f6f2d13484c688ca4c08c1279229ba266089,7,27821,3,0,41,128931,15,0,2031
ef8cf4de553248d1ffe2e79a01a33265284187cc,0,539,1,0,165,25916,40,97,18
0e5768381dcd523108ef892186e83e10a8b7d6d1,77,944,5,0,861,70266,210,1705,58
df3d2f2c490ec5279b171189087ba7902fdd6603,25,750,13,0,826,39069,209,792,40
8823290166bf24efc7cfda4d251f959b5f5f8e4c,3,2306,1,0,82,3266,14,0,267
bf32e472812f1679754d749057bfeb8dc7e5de1d,53,131,6,0,706,23255,152,2571,2
61090d286c2b456efbacfbbc718b1365a80ad39d,62,11638,1,0,354,63435,90,288,1027
2c0c049302588ceb1ba22c319de6226b2b7aea54,44,311,29,0,12132,1459350,2319,1024,8
26e408cd6a0213bcbed83290bcb2edfc7346c859,0,4920,1,0,26,8872,16,0,629
278d2fc1e2170475e68e7ec7e76be684e68ea0ee,60,695,14,0,4734,605061,1058,2391,25
5ee75c3a0078e0e3f52924461eed8da8c8382364,51,140,5,0,675,25525,168,1948,8
386190a5203471f5d068ef58f979ad39e18d994f,44,105,6,0,186,4821,59,2267,3
fb7b53304b7688f47de524084e5f8a482a5afad4,29,338,11,0,2104,78580,377,6881,4
ba80b316964507f7f9fe8ee411b17f1e5d3bde2a,41,339,6,0,358,97181,117,1022,4
